#{"t_start": 1638944366.8915262, "env_id": "Rummy-v0"}
r,l,t
0.070707,31,3.874373
0,30,3.933391
0,35,4.002203
0,30,4.0613
50.805556,29,4.117096
3.795455,35,4.185487
0.636364,32,4.248763
0.424242,29,4.306296
52.732323,35,4.374967
1.007576,33,4.442137
0,33,4.514782
0,35,4.606741
0.045455,29,4.697299
0.484848,32,4.767065
0,29,4.829713
0.25,38,4.910992
0.462121,31,4.971089
51.906566,26,5.022533
0.323232,32,5.085094
0,35,5.153649
0.313131,38,5.228036
50.856061,30,5.28608
1.267677,31,5.347053
50.002525,33,5.411883
0.727273,35,5.47966
0,32,5.543965
0.141414,27,5.621647
0.068182,29,5.697839
0.045455,33,5.76306
0.090909,27,5.817223
50.065657,11,5.838446
1.371212,34,5.90496
1.141414,31,5.965648
0,31,6.027342
0,21,6.068814
0,30,6.126753
51.893939,38,6.2005
0.893939,30,6.259062
0.732323,34,6.325382
0,35,6.388225
1.239899,33,6.446248
0.30303,30,6.49911
0,31,6.557723
0.818182,35,6.652647
0.340909,31,6.715521
52.527778,30,6.769863
0.090909,35,6.835031
0.717172,27,6.883831
0,34,6.943741
0.272727,34,7.00354
0.075758,32,7.060953
0,35,7.122604
51.075758,27,7.169993
0,31,7.22457
0,36,7.287959
0.409091,29,7.344152
53.063131,35,7.405967
0.734848,32,7.462828
1.598485,34,7.524389
0,26,7.585521
0.431818,31,7.669113
53.161616,33,7.729093
0.181818,35,7.791763
0.075758,33,7.84977
0.361111,28,7.899023
1.348485,32,10.000562
0.045455,28,10.054028
0,30,10.111599
1.464646,32,10.17254
0.075758,31,10.231361
0.060606,31,10.296326
0,33,10.366535
0,31,10.43339
0,29,10.496089
0,21,10.541112
0.484848,38,10.622579
0.55303,32,10.690104
0.477273,30,10.748034
0.090909,25,10.796391
0.833333,33,10.861169
1.421717,40,10.939036
0.121212,35,11.007481
50.255051,26,11.058947
0.484848,32,11.122062
0.545455,32,11.184341
0.590909,39,11.260362
1.136364,26,11.311254
0,30,11.370302
53.04798,39,11.446198
0,32,11.508912
51.795455,33,11.573393
0,28,11.627232
0,35,11.695235
0.151515,30,11.753507
0.070707,34,11.819696
51.454545,29,11.876395
0.032828,29,11.933097
0.568182,31,11.994112
0.356061,33,12.05866
1.146465,34,12.124889
0.169192,32,12.184296
0.818182,32,12.240777
0.80303,37,12.307424
0,34,12.369371
0,27,12.418327
50.378788,13,12.44176
0.007576,40,12.514145
0,39,12.584328
0,31,12.640408
0.022727,32,12.697202
0.371212,31,12.752759
0.39899,36,12.817489
0.159091,41,12.891906
0.348485,37,12.957965
52.098485,37,13.024704
0,32,13.082641
0,31,13.139491
51.777778,28,13.19049
50.10101,31,13.246483
0.909091,37,13.313144
0.714646,32,13.370841
0,34,13.430298
0,36,13.495357
0.181818,26,13.541971
0.621212,37,13.608994
0.159091,32,13.667475
50.856061,17,13.697561
1.242424,39,13.768059
0,33,13.827759
0.651515,34,15.922073
2.371212,35,15.991481
53.093434,34,16.058772
0.825758,36,16.130125
0.537879,31,16.192481
50.44697,36,16.269491
51.19697,39,16.353144
0.060606,35,16.428245
52.689394,41,16.516656
0.133838,32,16.586065
0.608586,31,16.647406
0.5,36,16.718095
0.424242,29,16.774899
1.55303,39,16.851846
0,36,16.923284
50.156566,30,16.982681
50.277778,32,17.045864
1.166667,37,17.119303
0.363636,33,17.184323
0,27,17.237669
50.212121,33,17.302958
0.237374,28,17.358691
51.444444,34,17.427686
0.219697,30,17.489201
0.080808,30,17.550452
0.333333,29,17.61008
0.060606,31,17.673312
52.530303,29,17.732259
0.113636,37,17.80707
0,33,17.874104
0,28,17.93134
0.030303,36,18.004411
52.5,30,18.065045
0.280303,36,18.137231
50.568182,38,18.20882
0.075758,38,18.280293
0.015152,33,18.34293
0.045455,32,18.402797
0.732323,30,18.458744
0.212121,36,18.5261
52.164141,36,18.594236
0,35,18.659981
53.924242,34,18.723098
0.371212,30,18.778764
0,35,18.844321
51.712121,37,18.912795
0.045455,31,18.970738
50.333333,25,19.017687
0,36,19.083929
0.65404,32,19.143933
0.378788,31,19.20221
0.25,30,19.25886
0,33,19.319903
1.280303,37,19.388406
52.666667,27,19.438856
0.181818,33,19.500534
0.242424,37,19.570262
0.290404,38,19.642021
0.462121,33,19.70321
0,36,19.770263
50.537879,32,19.829459
0,32,22.013253
0.530303,31,22.077116
0.189394,28,22.135027
0.121212,29,22.194823
0,35,22.266882
53.780303,35,22.339594
0.522727,31,22.409361
0.603535,32,22.481103
0,33,22.555301
0.242424,36,22.636522
0.474747,39,22.723912
0,36,22.798718
0.893939,34,22.867899
0,26,22.920812
0,41,23.004851
0,32,23.070065
0.05303,36,23.143793
0.310606,34,23.213467
0.29798,32,23.278546
0.775253,33,23.345738
0,39,23.425401
0.292929,37,23.500363
50.608586,36,23.574233
52.679293,35,23.646192
0,23,23.69331
1.424242,38,23.771467
0,40,23.852945
0.090909,35,23.924754
1.962121,39,24.004529
0.795455,32,24.069554
1.313131,38,24.146296
1.5,34,24.216661
0,34,24.287086
0.189394,37,24.358465
0.69697,36,24.427019
0.143939,33,24.488726
0.143939,33,24.551637
53.876263,41,24.627943
0,32,24.689018
0.068182,35,24.754803
0.871212,34,24.817761
0.007576,33,24.880946
0,34,24.945097
1.348485,37,25.015069
0.436869,28,25.067707
52.118687,39,25.141649
0.712121,30,25.198174
0.515152,32,25.258093
53.492424,30,25.314465
0.030303,30,25.371462
0.189394,35,25.437133
0,33,25.499462
51.507576,30,25.556623
0.060606,39,25.631026
0.090909,36,25.698877
52.194444,32,25.759336
0,29,25.813311
0.414141,37,25.883251
0,32,25.947392
0.431818,31,26.007159
0.227273,34,26.071542
54.727273,37,28.281481
51.186869,36,28.356484
0.098485,32,28.422843
51.95202,35,28.496632
54.606061,30,28.559529
53.454545,36,28.644154
0,31,28.716487
50.530303,10,28.739982
51.040404,35,28.819504
0,35,28.898097
2.719697,39,28.982622
0,36,29.056883
0.234848,37,29.132459
50.772727,34,29.201874
0.207071,32,29.268323
52.204545,38,29.346586
0,37,29.42302
0.765152,33,29.491426
2.267677,30,29.553344
50.906566,31,29.617682
0.060606,40,29.700535
0.318182,33,29.768265
51.176768,31,29.831354
54.439394,36,29.906139
0.886364,29,29.966261
0.257576,34,30.037127
0.075758,34,30.106849
52.265152,33,30.174242
50.356061,33,30.242835
0,33,30.311326
52.204545,34,30.380682
53.224747,42,30.467109
1.151515,33,30.535355
52.217172,34,30.602559
0.060606,9,30.619541
0,34,30.683877
0.037879,42,30.761949
0.113636,33,30.823476
50.527778,36,30.889408
0,32,30.948689
53.242424,29,31.002349
51.520202,33,31.064461
50.045455,33,31.127022
0.30303,35,31.190813
53.209596,38,31.261271
1.426768,40,31.335757
1.44697,29,31.389704
0.520202,37,31.459216
0.111111,22,31.500627
0.219697,28,31.553473
0.022727,41,31.629392
51.977273,36,31.696547
0.015152,32,31.755834
1.810606,36,31.822976
0.219697,32,31.883186
51.045455,33,31.94396
51.419192,33,32.005595
50.353535,39,32.077507
51.080808,29,32.130493
1.348485,36,32.197502
0.742424,37,32.264447
0,37,34.508018
0,34,34.613335
0.618687,35,34.707519
0,33,34.776857
0.371212,43,34.871007
1.075758,46,34.978124
51.118687,31,35.051811
0.424242,42,35.149797
51.881313,38,35.233176
0.242424,33,35.302453
0.272727,39,35.384614
0.959596,38,35.463897
0.068182,29,35.524983
1.280303,40,35.63514
0.378788,12,35.673031
51.113636,34,35.756072
0.136364,43,35.851459
51.805556,32,35.92983
0,40,36.018118
0.151515,35,36.093815
0.234848,35,36.168155
0.606061,39,36.251114
1.040404,32,36.319152
50.462121,19,36.359074
53.222222,30,36.422276
51.484848,31,36.487537
0,36,36.573249
0.30303,39,36.68894
0.666667,34,36.768582
0.891414,38,36.852763
0.204545,35,36.929273
0.643939,36,37.001137
51.69697,38,37.077283
50.242424,40,37.154903
52.55303,34,37.220607
0,29,37.312862
50.795455,33,37.377439
0.151515,37,37.452357
0.931818,25,37.505996
50.272727,37,37.599186
51.691919,34,37.694299
50.063131,31,37.754831
51.05303,31,37.818609
53.598485,32,37.883284
0.05303,37,37.955089
0.818182,40,38.033576
52.075758,35,38.101984
2.136364,36,38.181432
54.936869,33,38.245295
51.075758,33,38.308624
0.171717,39,38.384185
0.348485,37,38.455858
0.338384,29,38.511677
0.931818,38,38.601096
0.015152,39,38.705658
51.030303,33,38.769177
56.527778,31,38.829221
0.015152,35,38.896469
51.939394,36,38.965801
54.5,34,41.367207
52.659091,40,41.476038
0.606061,41,41.578754
0,37,41.661619
0.030303,38,41.747486
51.611111,42,41.841671
0.257576,47,41.947732
54.969697,36,42.029195
51.401515,33,42.104323
50.174242,4,42.113314
0.04798,35,42.191347
0,34,42.269052
0.363636,36,42.350361
0.247475,30,42.417787
53.914141,39,42.506093
0.712121,34,42.581895
0.522727,33,42.655975
0,44,42.755619
0,36,42.836937
0.151515,34,42.913032
1.886364,33,42.987589
52.530303,34,43.064379
0,40,43.154875
0.962121,32,43.226795
52.871212,34,43.303147
0.621212,36,43.383779
55.050505,37,43.466486
0.106061,33,43.535903
0.515152,39,43.614854
51.330808,33,43.682493
52.482323,35,43.752075
50.69697,32,43.816571
52.55303,39,43.89487
51.285354,35,43.964309
1.813131,41,44.046393
52.032828,42,44.129473
0,31,44.193152
50.724747,39,44.272316
0.704545,34,44.339569
