#{"t_start": 1638933819.6804597, "env_id": "Rummy-v0"}
r,l,t
1.308081,37,3.973747
8.262626,43,3.995473
1.060606,46,4.423218
5.85101,35,4.74528
1.325758,45,5.171502
1.681818,37,5.512782
0.159091,40,5.87101
0.136364,38,6.197666
0.318182,37,6.501989
0.068182,38,6.831776
0,42,7.18821
1.242424,31,7.459814
0,32,7.765444
2.05303,40,8.117891
2.848485,36,8.413713
0.777778,40,8.779587
4.613636,41,9.135238
4.931818,32,9.407252
1.265152,39,9.746566
2.608586,41,10.114899
0.242424,34,10.4455
0.565657,33,10.750224
0.530303,44,11.153515
0.146465,34,11.446281
0.257576,47,11.871408
2.623737,32,12.132673
1.507576,32,12.389289
0.376263,28,12.611821
6.15404,45,12.98364
1.709596,40,13.312953
2.121212,38,13.628319
0.010101,36,13.93732
0.924242,42,14.303054
0.679293,43,14.69269
0.484848,33,14.9656
4.80303,41,15.300863
0,42,15.667665
1.090909,39,15.984316
0.712121,38,16.290199
0.280303,46,16.670699
0,44,17.058383
3.863636,33,17.340423
0.969697,53,17.794758
7.25,44,18.157575
1.128788,40,18.481076
1.765152,40,18.811708
0,37,19.13725
4.621212,37,19.465981
0.469697,34,19.777485
0,42,20.141253
3.853535,39,20.45925
0.545455,37,20.762202
6.545455,41,21.102391
4.777778,38,21.413272
0.136364,40,21.742472
1.143939,36,22.039262
1.045455,38,22.349813
4.792929,40,22.677584
1.108586,40,23.019472
0.780303,44,23.402485
3.338384,41,23.792965
1.641414,47,24.200436
1.921717,43,24.587673
2.575758,45,24.976636
0.29798,50,25.386323
1.646465,53,25.824282
0,13,25.936608
2.785354,45,26.319362
5.590909,47,26.725853
0.752525,37,27.030243
0.058081,45,27.394277
0.515152,45,27.802289
3.527778,46,28.225384
1.530303,40,28.577426
7.34596,50,29.040654
1.522727,48,29.543228
0.507576,34,29.849846
1.257576,48,30.249885
2.469697,39,30.580395
0.674242,21,30.755784
1.744949,36,31.062037
1.080808,43,31.428993
4.181818,37,31.76048
0.212121,37,32.076192
7.106061,35,32.367499
10.712121,51,32.883346
3.707071,44,33.273706
0.356061,47,33.738833
7.929293,47,34.143641
5.179293,53,34.60609
2.527778,36,34.928876
5.59596,41,35.309564
6.313131,50,35.807363
2.588384,41,36.207687
0.530303,40,36.55926
3.315657,50,36.999997
5.482323,49,37.429137
1.489899,48,37.849799
9.924242,61,38.374099
0.757576,38,38.702399
1.888889,46,39.083826
0.628788,41,39.43463
3.863636,43,39.791316
3.984848,59,40.277342
5.719697,54,40.750396
0.772727,52,41.194778
1.409091,50,41.650499
3.343434,38,41.987067
0.098485,48,42.413004
5.126263,47,42.824844
3.431818,44,43.186701
1.666667,34,43.505374
8.212121,43,43.895419
3.954545,40,44.246832
0.393939,53,44.740029
1.949495,40,45.081437
5.916667,43,45.455512
0.628788,36,45.80229
2.063131,36,46.099964
3.994949,43,46.457033
1.371212,45,46.839016
3.818182,50,47.290041
2.325758,37,47.652665
2.189394,41,48.061612
0,49,48.56245
2.227273,49,49.058603
5.752525,53,49.71524
3.883838,38,50.15344
1.010101,39,50.512135
4.840909,55,51.000269
1.333333,33,51.281345
1.522727,50,51.693391
0.772727,42,52.048969
3.325758,48,52.443635
0.030303,49,52.865159
2.113636,29,53.112312
0.679293,58,53.611277
4.214646,59,54.110531
2.371212,39,54.469341
2.181818,37,54.832386
0.492424,35,55.193969
0.045455,40,55.573911
11.893939,55,56.065204
1.060606,34,56.432423
8.911616,52,56.975291
7.828283,47,57.366944
0.755051,36,57.668156
5.560606,45,58.043894
2.893939,45,58.414096
2.25,34,58.694451
1.787879,49,59.111582
3.656566,38,59.443464
3.704545,46,59.869882
8.772727,53,60.362639
0.272727,48,60.805145
2.037879,53,61.267565
4.431818,39,61.608123
6.080808,40,61.963177
5.388889,50,62.42486
2.666667,49,62.887114
0.106061,33,63.173019
6.262626,48,63.652932
0.313131,33,63.948851
5.835859,50,64.385228
7.164141,54,64.912197
7.098485,47,65.31199
4.371212,41,65.68087
5.896465,49,66.096131
4.651515,46,66.483005
2.886364,34,66.797926
0.454545,29,67.04773
6.126263,33,67.32442
0.777778,26,67.545749
5.659091,43,67.928719
3.194444,41,68.286668
0.651515,49,68.709801
2.136364,48,69.107215
3.151515,49,69.523289
0.936869,46,69.918219
3.10101,36,70.221408
0.454545,52,70.703323
0.876263,46,71.088729
0.106061,51,71.535846
1.055556,47,71.943232
2.103535,37,72.253331
0.909091,46,72.639883
5.19697,44,73.005203
4.780303,43,73.356563
0.681818,43,73.744904
4.098485,48,74.148905
8.712121,50,74.584817
0.310606,29,74.843446
0.386364,25,75.052468
1.449495,46,75.427817
0,42,75.775715
7.823232,40,76.10134
0.585859,40,76.434689
0.492424,38,76.761434
2.924242,39,77.158578
2.838384,46,77.702816
2.704545,42,78.074794
1.161616,35,78.378909
1.89899,44,78.752224
0,35,79.039744
4.055556,47,79.425915
4.957071,44,79.817924
0.964646,48,80.237513
0.431818,39,80.62665
5.136364,41,80.990844
0.376263,42,81.350297
0,25,81.565939
2.136364,46,81.965297
15.29798,67,82.518996
0.954545,43,82.880608
3.356061,42,83.238449
4.116162,46,83.635851
1.926768,53,84.107029
1.260101,49,84.532399
1.35101,38,84.856931
0.05303,24,85.05751
13.651515,55,85.529705
7.020202,47,85.994073
0.113636,43,86.401507
1.234848,45,86.853369
2.921717,45,87.321588
0,42,87.717366
5.19697,33,88.028809
0.863636,25,88.246236
0.659091,32,88.521153
6.618687,61,89.045774
5.29798,41,89.41663
2.386364,59,89.934263
1.646465,49,90.342833
0.015152,6,90.391831
13.646465,58,90.867656
4.863636,30,91.114848
4.464646,60,91.610009
6.472222,49,92.033142
11.689394,68,92.668248
0.477273,31,92.937078
5.515152,43,93.386962
0,26,93.612657
7.305556,53,94.109641
7.017677,52,94.617119
5.118687,40,95.007206
3.939394,40,95.37627
0,16,95.517116
2.810606,51,96.089909
2.030303,40,96.471105
0.795455,34,96.757239
0.431818,43,97.12156
0.487374,41,97.472485
12.234848,50,97.92694
0.242424,33,98.232623
0.068182,36,98.545801
4.477273,47,98.958501
3.893939,43,99.343709
9.020202,66,99.959547
2.191919,44,100.458878
0.606061,38,100.893495
0.659091,27,101.120034
0.871212,33,101.424361
8.712121,59,101.974257
7.868687,43,102.340604
1.972222,40,102.734073
5.515152,52,103.198097
0.5,32,103.466668
7.472222,52,103.919374
0.035354,39,104.292037
5.787879,40,104.654083
12.393939,72,105.295543
0.575758,38,105.65343
0.934343,38,106.020658
0.886364,35,106.338944
1.669192,44,106.711563
0,12,106.812094
4.89899,35,107.10028
1.295455,31,107.371378
8.704545,45,107.770494
7.371212,47,108.185831
1.085859,40,108.537164
0.318182,37,108.856491
0,33,109.127301
2.666667,41,109.500244
1.368687,42,109.876029
1.305556,45,110.278973
2.734848,38,110.669535
0.522727,47,111.254379
10.992424,59,111.889806
0.252525,46,112.495629
1.568182,41,113.057218
3.060606,44,113.726372
1.522727,45,114.216203
1.090909,39,114.732773
5.840909,37,115.095607
0.070707,45,115.505052
5.59596,42,115.882463
19.878788,69,116.444775
0.545455,41,116.785747
2.290404,34,117.066748
0,42,117.424077
6.997475,50,117.831834
3.386364,37,118.133015
6.277778,43,118.495475
2.926768,52,118.943622
0.621212,48,119.375975
3.909091,40,119.727597
3.128788,39,120.051021
0.30303,34,120.328357
1.017677,38,120.644539
2.353535,37,120.943349
1.573232,39,121.257324
1.371212,48,121.645635
2.982323,43,122.010181
0.454545,24,122.267122
1.04798,42,122.697212
0.742424,37,122.994266
4.015152,49,123.416115
5.441919,37,123.776977
4.497475,45,124.161552
0,38,124.469308
0,40,124.794902
8.151515,50,125.199627
5.277778,44,125.557168
13.356061,59,126.055152
0,40,126.373573
8.386364,48,126.756418
8.646465,54,127.186176
4.739899,47,127.566077
13.444444,63,128.068335
3.588384,42,128.402447
4.919192,25,128.60211
0.363636,37,128.896889
1.891414,41,129.223926
1.436869,39,129.533941
1.80303,29,129.767744
1.522727,47,130.144157
1.75,46,130.510514
1.573232,35,130.791037
8.689394,43,131.135112
1.787879,41,131.462117
0.376263,37,131.758807
2.45202,44,132.108091
2.068182,53,132.529461
0.128788,31,132.780043
0.818182,46,133.148792
3.974747,32,133.405198
1.060606,34,133.679017
3.590909,40,134.001829
0,41,134.435922
10.143939,59,135.021506
0.492424,42,135.374743
4.666667,44,135.729307
0.232323,33,135.992705
2.469697,39,136.304582
2.757576,58,136.770164
0.212121,40,137.089657
0.10101,39,137.421253
1.525253,38,137.77287
0.212121,38,138.090026
7.893939,48,138.472627
0.045455,44,138.833114
0.204545,41,139.16182
4.856061,65,139.715023
7.217172,45,140.098636
7.820707,48,140.512647
0.075758,4,140.544333
0.027778,42,140.878695
2.05303,45,141.262485
1.924242,35,141.554612
0,41,141.938514
3.484848,43,142.317986
0.674242,23,142.517513
2.305556,42,142.876338
0.075758,42,143.234857
2.060606,37,143.565418
4.396465,38,143.914762
0,40,144.288767
0.030303,41,144.666432
0.068182,40,145.027205
4.583333,45,145.387171
0.643939,45,145.747214
2.477273,47,146.126443
