#{"t_start": 1638949857.8711305, "env_id": "Rummy-v0"}
r,l,t
0,14,2.864339
0,14,2.885126
0,14,2.905656
0,14,2.927181
0.075758,15,2.94994
0.477273,15,2.973078
0,17,2.997734
0,14,3.016201
0.007576,7,3.0253
0,17,3.048817
50.992424,13,3.066908
0,18,3.091398
0,12,3.10893
0.257576,18,3.133093
0.113636,16,3.154408
0.045455,14,3.173312
0,13,3.190569
0,16,3.213528
50.136364,13,3.231643
0,14,3.249279
0,13,3.266961
0,17,3.292026
0,18,3.316898
0,17,3.339621
0.015152,16,3.3613
0.234848,17,3.384416
0,16,3.406052
0,17,3.428755
0,14,3.448051
0,17,3.470271
0,14,3.488813
0,14,3.507435
0,15,3.532068
0,14,3.557264
0,14,3.575176
50.212121,15,3.59485
0,14,3.614369
0.030303,14,3.634215
0,16,3.656681
0,16,3.679083
0.212121,15,3.700151
0,17,3.722395
0,14,3.740564
0,15,3.759756
0,16,3.780231
0.204545,18,3.804554
0,11,3.819209
0.030303,15,3.839975
0,13,3.858764
0,20,3.886859
0,16,3.908756
0,14,3.928219
0,13,3.946881
0,16,3.969906
0,13,3.988903
50.022727,14,4.008032
0,13,4.025085
0,17,4.047662
0.136364,16,4.069254
0.424242,13,4.089764
0,15,4.110372
0.121212,17,4.133314
0,13,4.150441
0,16,4.171494
0,13,4.189518
0,8,4.200225
0,8,4.211407
0.159091,15,4.232075
50.007576,17,4.254909
0,13,4.272604
0.189394,14,4.290176
0,13,4.308312
0,16,4.330003
0.212121,17,4.352773
0.242424,18,4.377149
0.060606,15,4.398279
0,14,4.417477
0,13,4.435139
0.075758,16,4.455867
0,13,4.473364
0.015152,14,4.492302
0,16,4.524433
0,13,4.543683
0,15,4.564445
0,14,4.58363
0,17,4.605974
0,14,4.625967
0,14,4.645118
0,14,4.664213
0,14,4.683548
0,17,4.705549
0,13,4.723361
0,16,4.744855
0,15,4.76453
0,13,4.781296
0.090909,16,4.803184
0.141414,16,4.825235
50.214646,15,4.845071
0,15,4.865295
0,14,4.88442
0.272727,15,4.903413
0,13,4.929679
0.212121,12,4.94985
0,16,4.971362
0,17,4.994603
0.189394,16,5.016211
0,14,5.032717
0.060606,14,5.057223
0,14,5.086612
0,17,5.112573
0,14,5.134684
0.136364,15,5.157842
0,15,5.181201
0.416667,15,5.204753
0,15,5.228608
0,13,5.249698
0,18,5.277762
0,12,5.296568
0,20,5.327163
0.151515,14,5.349215
50.229798,4,5.355556
0,13,5.376026
0,18,5.404744
0.212121,14,5.426285
0,17,5.452833
0,17,5.47887
0,14,5.501242
0,14,5.524183
0,12,5.542687
0,14,5.564496
0,13,5.584825
0,12,5.60346
0,16,5.627954
0,13,5.648673
0,16,5.673943
50.015152,6,5.683043
0,13,5.702623
0,6,5.711968
0.090909,15,5.736007
0,14,5.756987
0,17,7.328583
0,18,7.352602
0,19,7.378739
0,19,7.404451
0,14,7.423363
0,14,7.441483
0.492424,8,7.452237
0.090909,17,7.475801
0,15,7.496549
0.30303,15,7.527085
50.94697,19,7.552692
50.179293,16,7.57636
0,15,7.598102
50.883838,17,7.620476
0.121212,17,7.645127
0,15,7.665665
0,16,7.688118
0,15,7.70858
0,15,7.728738
0,14,7.747357
0,15,7.767941
0.636364,16,7.789719
0,18,7.81413
0,13,7.83162
0,17,7.854268
0.032828,15,7.875128
0,14,7.894386
0,16,7.920439
0.037879,11,7.944422
0,17,7.968014
0,14,7.987192
0.007576,16,8.009558
0.34596,15,8.030238
0,18,8.057459
0.037879,14,8.084263
0,16,8.106982
0.020202,18,8.133419
0,15,8.153635
0.045455,19,8.178728
0.090909,16,8.200307
0,14,8.219737
0,13,8.236912
0,16,8.258782
0,13,8.27556
0.280303,16,8.29652
0,17,8.319085
0,18,8.34459
0,14,8.36359
0,13,8.382263
0,13,8.402078
0,14,8.420178
0,16,8.440777
0.030303,18,8.464011
0,13,8.481011
0,15,8.501597
0,16,8.52322
0,15,8.545714
0,15,8.566054
0,14,8.585507
50.25,16,8.606131
0,16,8.626966
0,15,8.646743
0,17,8.668578
0.151515,12,8.683844
0.113636,14,8.702929
0,12,8.719829
0,14,8.740418
0.088384,14,8.759129
0.05303,18,8.783623
50.234848,7,8.792617
0,16,8.813366
0,16,8.834563
0.045455,14,8.852845
0.287879,16,8.87419
0,18,8.89816
50.255051,14,8.917923
0,9,8.930918
0,17,8.954291
0,15,8.974653
0,16,8.99632
0,15,9.016681
0,16,9.039108
0,16,9.060432
0.022727,16,9.08278
0.242424,18,9.107852
0,15,9.128051
0,15,9.149016
0.757576,16,9.1707
0,14,9.189907
0,21,9.218226
0,16,9.239349
0,13,9.256045
0.010101,16,9.27802
0,17,9.300993
50.090909,17,9.325288
0,14,9.344503
0,15,9.365137
50.131313,15,9.382875
0,14,9.405458
0.318182,16,9.431305
0,14,9.453443
0.088384,16,9.479501
0,13,9.499546
0,19,9.530165
0,14,9.557191
0,15,9.58756
0.181818,14,9.610176
0,18,9.638705
0,14,9.660877
0,15,9.684864
0,12,9.703752
0.090909,12,9.722699
0,14,9.744545
0,16,9.769742
0,15,9.793384
0,11,9.810736
0,16,9.8363
0,15,9.859928
0,18,9.887431
0,13,9.907405
0,13,9.928003
0,13,9.948904
50.219697,18,9.977206
0,15,10.001595
0.234848,17,10.028125
0,14,10.050155
0.40404,16,10.075771
0,17,10.106033
0,16,10.131888
0,13,10.152172
0.69697,16,10.177423
0,13,10.198145
0,15,10.221634
0,14,10.243679
0,16,10.269696
50.204545,17,11.89936
0.146465,14,11.918563
0,18,11.944332
50.075758,16,11.96671
0,16,11.989172
0,14,12.008781
0,16,12.031049
50.017677,16,12.053472
0.045455,15,12.075185
0,13,12.094452
0.659091,15,12.115194
0,13,12.132636
0.090909,14,12.15178
0,7,12.16125
0,15,12.182176
0,18,12.207555
0,13,12.226597
0.123737,16,12.248136
0,13,12.26576
0.484848,14,12.284969
0,13,12.303046
0,14,12.322487
0,11,12.338153
0,15,12.359655
0,14,12.380029
0.060606,18,12.405244
0,14,12.425256
1.159091,16,12.448357
0,15,12.469987
0,15,12.491685
50.020202,15,12.513098
50.121212,14,12.533308
0,16,12.556183
0,14,12.578152
0.30303,12,12.604673
0,17,12.637105
0.022727,12,12.665155
0.583333,16,12.686536
50.159091,12,12.703251
0,15,12.724701
0.613636,18,12.750335
0.477273,19,12.777211
0,19,12.80467
0.106061,13,12.822818
0,17,12.847105
